Remuneracao Liquida	Descontos Legais	Indenizacoes	Remuneracao Bruta	Matricula	Redutor
    10419.91	     2993.54	        0.00	    13413.45	001945	        0.00
     5529.93	      367.60	        0.00	     5897.53	001953	        0.00
     9325.97	     2392.10	        0.00	    11718.07	001970	        0.00
     6215.43	      681.96	        0.00	     6897.39	001988	        0.00
     7775.82	     1754.45	        0.00	     9530.27	001996	        0.00
     3163.03	     2709.24	        0.00	     5872.27	002003	        0.00
    14600.06	     5291.72	        0.00	    19891.78	002011	        0.00
     8571.62	     2314.80	        0.00	    10886.42	002046	        0.00
    15483.52	     5777.43	        0.00	    21260.95	002071	        0.00
     7372.26	     2866.35	     1014.64	     9223.97	002135	        0.00
     8041.97	     1686.16	        0.00	     9728.13	002143	        0.00
    10603.90	      157.76	        0.00	    10761.66	002160	        0.00
     7011.22	     2494.76	      942.03	     8563.95	002178	        0.00
    11354.03	     3507.10	        0.00	    14861.13	002186	        0.00
     3334.48	       68.05	        0.00	     3402.53	002267	        0.00
     5922.14	      544.02	        0.00	     6466.16	002283	        0.00
     5641.98	     1736.20	        0.00	     7378.18	002291	        0.00
     3786.60	         .00	        0.00	     3786.60	002305	        0.00
     8756.16	     2425.40	        0.00	    11181.56	002321	        0.00
    10525.95	     3051.83	        0.00	    13577.78	002348	        0.00
    12097.88	      342.41	        0.00	    12440.29	002356	        0.00
     3122.53	     2235.87	        0.00	     5358.40	002372	        0.00
     9186.71	      193.38	        0.00	     9380.09	002411	        0.00
     1323.53	     1716.07	        0.00	     3039.60	002470	        0.00
     9011.58	     2219.25	        0.00	    11230.83	002488	        0.00
     9544.59	     2431.49	        0.00	    11976.08	002496	        0.00
     5691.47	      623.37	        0.00	     6314.84	002500	        0.00
     6494.65	      132.54	        0.00	     6627.19	002518	        0.00
     2895.02	     1488.31	        0.00	     4383.33	002526	        0.00
     6798.92	     1839.57	        0.00	     8638.49	002542	        0.00
    10240.73	      112.87	        0.00	    10353.60	002551	        0.00
     5897.25	      724.83	        0.00	     6622.08	002569	        0.00
     6092.73	     1583.09	        0.00	     7675.82	002577	        0.00
     5941.45	      746.63	        0.00	     6688.08	002593	        0.00
     8015.71	     1671.73	        0.00	     9687.44	002615	        0.00
     8014.31	         .00	        0.00	     8014.31	002623	        0.00
     6782.51	     4009.82	        0.00	    10792.33	002631	        0.00
     7389.11	     1606.05	        0.00	     8995.16	002640	        0.00
     5108.17	      365.97	        0.00	     5474.14	002658	        0.00
      213.31	     1482.01	        0.00	     1695.32	002682	        0.00
    10036.94	     3193.05	        0.00	    13229.99	002691	        0.00
     2370.29	     2776.10	        0.00	     5146.39	002704	        0.00
     4794.36	      120.24	        0.00	     4914.60	002712	        0.00
     5680.55	      435.35	        0.00	     6115.90	002739	        0.00
     4732.43	      100.32	        0.00	     4832.75	002763	        0.00
     5830.79	      441.08	        0.00	     6271.87	002810	        0.00
     6983.84	     1363.15	        0.00	     8346.99	002828	        0.00
     6101.37	      562.79	        0.00	     6664.16	002844	        0.00
     5458.87	      508.67	        0.00	     5967.54	002861	        0.00
    11017.99	     3322.34	        0.00	    14340.33	002887	        0.00
     8458.88	     1915.39	        0.00	    10374.27	002925	        0.00
    14703.00	     5348.31	        0.00	    20051.31	002968	        0.00
     2990.18	         .00	        0.00	     2990.18	002984	        0.00
     6157.28	     1299.84	        0.00	     7457.12	003000	        0.00
     7097.73	     1348.02	        0.00	     8445.75	003051	        0.00
     7856.75	     1886.33	        0.00	     9743.08	003085	        0.00
    11163.61	     5044.37	     1606.20	    14601.78	003107	        0.00
     8512.79	     2279.54	        0.00	    10792.33	003115	        0.00
     9070.94	     2171.08	        0.00	    11242.02	003131	        0.00
     9480.74	     2315.58	        0.00	    11796.32	003140	        0.00
     7136.96	     1757.65	        0.00	     8894.61	003158	        0.00
     7163.02	     1933.59	        0.00	     9096.61	003166	        0.00
     9719.06	     2195.10	        0.00	    11914.16	003182	        0.00
     4078.58	     2771.13	        0.00	     6849.71	003191	        0.00
     5706.89	     3996.41	        0.00	     9703.30	003204	        0.00
    11451.46	     3560.66	        0.00	    15012.12	003212	        0.00
     4715.25	       94.78	        0.00	     4810.03	003221	        0.00
     6198.43	      672.61	        0.00	     6871.04	003247	        0.00
     6580.95	      882.92	        0.00	     7463.87	003255	        0.00
     6094.69	      621.62	        0.00	     6716.31	003263	        0.00
     7976.39	     1407.71	        0.00	     9384.10	003280	        0.00
    10071.36	     2801.91	        0.00	    12873.27	003328	        0.00
     6022.53	      589.18	        0.00	     6611.71	003379	        0.00
     2265.98	     3160.30	        0.00	     5426.28	003425	        0.00
      381.74	      821.17	        0.00	     1202.91	003433	        0.00
     9113.86	     3477.20	        0.00	    12591.06	003450	        0.00
     8441.53	     2153.43	        0.00	    10594.96	003468	        0.00
     5153.16	     3544.78	        0.00	     8697.94	003506	        0.00
     8883.19	     3255.57	        0.00	    12138.76	003522	        0.00
     7181.95	     1481.89	        0.00	     8663.84	003531	        0.00
     8227.00	     1787.90	        0.00	    10014.90	003549	        0.00
    11197.80	      493.89	        0.00	    11691.69	003557	        0.00
    17379.76	      995.22	        0.00	    18374.98	003565	        0.00
     8694.47	         .00	        0.00	     8694.47	003581	        0.00
      202.44	     1792.62	        0.00	     1995.06	003590	        0.00
     7268.57	      148.34	        0.00	     7416.91	003603	        0.00
     2030.52	     1958.31	        0.00	     3988.83	003620	        0.00
     5119.66	     3103.94	        0.00	     8223.60	003646	        0.00
     7798.15	     1552.12	        0.00	     9350.27	003662	        0.00
    13039.13	      458.74	        0.00	    13497.87	003697	        0.00
     2491.83	         .00	        0.00	     2491.83	003727	        0.00
     4057.97	         .00	        0.00	     4057.97	003751	        0.00
    11564.35	     3622.73	        0.00	    15187.08	003778	        0.00
    10691.61	      168.60	        0.00	    10860.21	003786	        0.00
     6800.61	     1253.33	        0.00	     8053.94	003794	        0.00
